This is a logfile generated by pires.obd.readerlat:42.55186826;long:-71.26612661;alt:43.0;vehicleid:;readings:otocol AUTO=OK; Reset OBD=ELM327v1.3a; Echo Off=OK; Timeout=OK; Line Feed Off=OK
TIME;LATITUDE;LONGITUDE;VEHICLE_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO
1460324622435;42.55723863;-71.29852428;28.0;;null;null;NODATA;null;null;1320RPM;null;null;null;null;null;null;null;null;40.39mph;null;null;00:11:38;null;null;null;null;null
1460324626440;42.55674106;-71.29900105;30.0;;null;null;NODATA;null;null;1233RPM;null;null;null;null;null;null;null;null;39.15mph;null;null;00:11:41;null;null;null;null;null
1460324630444;42.55624275;-71.29936341;31.0;;null;null;NODATA;null;null;1557RPM;null;null;null;null;null;null;null;null;35.42mph;null;null;00:11:45;null;null;null;null;null
1460324634457;42.55574518;-71.29961181;31.0;;null;null;NODATA;null;null;1609RPM;null;null;null;null;null;null;null;null;33.55mph;null;null;00:11:49;null;null;null;null;null
1460324638461;42.55523903;-71.29981803;31.0;;null;null;NODATA;null;null;1187RPM;null;null;null;null;null;null;null;null;32.93mph;null;null;00:11:53;null;null;null;null;null
1460324642472;42.55481438;-71.30009303;31.0;;null;null;NODATA;null;null;1043RPM;null;null;null;null;null;null;null;null;30.45mph;null;null;00:11:57;null;null;null;null;null
1460324646485;42.55452069;-71.30018891;29.0;;null;null;NODATA;null;null;833RPM;null;null;null;null;null;null;null;null;21.75mph;null;null;00:12:01;null;null;null;null;null
1460324650491;42.5543866;-71.29986181;28.0;;null;null;NODATA;null;null;853RPM;null;null;null;null;null;null;null;null;17.40mph;null;null;00:12:05;null;null;null;null;null
1460324654495;42.55417224;-71.2996755;28.0;;null;null;NODATA;null;null;843RPM;null;null;null;null;null;null;null;null;16.16mph;null;null;00:12:09;null;null;null;null;null
1460324658520;42.55387541;-71.29968986;29.0;;null;null;NODATA;null;null;1430RPM;null;null;null;null;null;null;null;null;18.02mph;null;null;00:12:13;null;null;null;null;null
1460324662527;42.55354395;-71.2996794;28.0;;null;null;NODATA;null;null;1075RPM;null;null;null;null;null;null;null;null;19.26mph;null;null;00:12:17;null;null;null;null;null
1460324666540;42.55324506;-71.29947376;26.0;;null;null;NODATA;null;null;871RPM;null;null;null;null;null;null;null;null;21.13mph;null;null;00:12:21;null;null;null;null;null
